r2,mae,rmse,pearson_corr,spearman_corr,permutation
-0.19013753388495513,4.611182100634959,7.082057672640018,0.0016434019226929583,-0.02449553368668125,0
-0.1067128190225608,4.495945262429872,6.829334003115229,0.0003836340051237497,0.004530808420620332,1
-0.12688759603092215,4.436710648033235,6.891300410338539,-0.05217825849683292,-0.04051614148902502,2
-0.1657127072398188,4.645491570959421,7.009009497481562,0.021970233231489264,-0.16746627444371104,3
-0.1372777761698707,4.536842157665087,6.9229972551582,0.06191810857081086,-0.001939913878858507,4
-0.09090027851181937,4.551932869266285,6.780370246591299,0.08572345207348293,-0.03032335050891369,5
-0.24000080014836467,4.59137085378706,7.228894154267872,-0.040239637108151344,0.054205001173476486,6
-0.24346045899666557,4.829348378959718,7.238971602402269,-0.06091719687475022,-0.10655448822155864,7
-0.37374838130458876,4.662720736596026,7.608770414527356,0.034725291608668274,-0.0577090038562156,8
-0.20371708521042398,4.451582423714451,7.122346457341943,-0.0064530859949024025,0.08094237201803761,9
-0.28395973536007446,4.852611892992417,7.355913022501189,-0.08274868503492866,-0.08129328132468858,10
-0.025288771495750373,4.3382923160822315,6.5733080243008715,0.15231389090739197,0.0019325501645946453,11
-0.12504373313858141,4.600843422395968,6.885660178257048,0.007354287927517264,-0.13546104666943512,12
-0.1551116075879111,4.5523920271448794,6.977066416533062,-0.013533293817549018,-0.11889323940631466,13
-0.17970532921089122,4.621154622150406,7.050950305046452,-0.05804512171984418,-0.09431939546157472,14
-0.2418322488794249,4.5600851721412665,7.234230628279826,-0.10953709048516896,-0.061089789828625764,15
-0.03030047235692024,4.407913606231503,6.5893538910239,0.14693238898504304,0.014991245657988176,16
-0.2458594182742153,4.785796171640816,7.245951169040606,-0.0032551980157616914,0.06548177699204383,17
-0.15476884934173807,4.526109331648515,6.976031181295392,0.00045121168151540436,0.0659971474799714,18
-0.08891071667881412,4.493570655925773,6.774184473968963,0.016732907263740732,-0.041640246453351716,19
-0.11575202981892052,4.5072718400993494,6.8571669920726634,0.01090513320732152,-0.005588916735628306,20
-0.3906770390434824,4.7622504311211005,7.655508186646539,-0.0456778749515882,0.05751244129502955,21
-0.17255529269408676,4.46123389012155,7.0295503959975605,-0.09519346928317425,-0.06509168475220384,22
-0.05474769564098847,4.2391898655416576,6.667072468296491,0.06866369678199977,0.06890835396594328,23
-0.14647204509952827,4.739724851699787,6.950925246721144,0.011861690338097192,-0.19527193883947355,24
-0.12696690442655845,4.5387982765156405,6.891542904960699,-0.030065118033743676,-0.06863844555390011,25
-0.16333460884875706,4.556341524398927,7.001856524161172,0.014830494639901336,0.002783908821408817,26
-0.023058283487985776,4.388226576555905,6.5661541044309155,0.17545706232207725,-0.035224747090071784,27
-0.1442864990002033,4.514930368761883,6.944296731641922,-0.014642223360780053,-0.03523466470313011,28
-0.14805960878936575,4.540139882035266,6.955736187843961,-0.046649150214672204,-0.06098471530515461,29
